customer_identity_bridge_id,source_system,source_customer_id,source_customer_email,source_customer_name,unified_customer_id,identity_resolution_method,identity_confidence_score
IDBR00000001,telco_customer_churn,0002-ORFBO,,,CUST0000001,native_telco_customer_id,1.0
IDBR00000002,telco_customer_churn,0003-MKNFE,,,CUST0000002,native_telco_customer_id,1.0
IDBR00000003,telco_customer_churn,0004-TLHLJ,,,CUST0000003,native_telco_customer_id,1.0
IDBR00000004,telco_customer_churn,0011-IGKFF,,,CUST0000004,native_telco_customer_id,1.0
IDBR00000005,telco_customer_churn,0013-EXCHZ,,,CUST0000005,native_telco_customer_id,1.0
IDBR00000006,telco_customer_churn,0013-MHZWF,,,CUST0000006,native_telco_customer_id,1.0
IDBR00000007,telco_customer_churn,0013-SMEOE,,,CUST0000007,native_telco_customer_id,1.0
IDBR00000008,telco_customer_churn,0014-BMAQU,,,CUST0000008,native_telco_customer_id,1.0
IDBR00000009,telco_customer_churn,0015-UOCOJ,,,CUST0000009,native_telco_customer_id,1.0
IDBR00000010,telco_customer_churn,0016-QLJIS,,,CUST0000010,native_telco_customer_id,1.0
IDBR00000011,telco_customer_churn,0017-DINOC,,,CUST0000011,native_telco_customer_id,1.0
IDBR00000012,telco_customer_churn,0017-IUDMW,,,CUST0000012,native_telco_customer_id,1.0
IDBR00000013,telco_customer_churn,0018-NYROU,,,CUST0000013,native_telco_customer_id,1.0
IDBR00000014,telco_customer_churn,0019-EFAEP,,,CUST0000014,native_telco_customer_id,1.0
IDBR00000015,telco_customer_churn,0019-GFNTW,,,CUST0000015,native_telco_customer_id,1.0
IDBR00000016,telco_customer_churn,0020-INWCK,,,CUST0000016,native_telco_customer_id,1.0
IDBR00000017,telco_customer_churn,0020-JDNXP,,,CUST0000017,native_telco_customer_id,1.0
IDBR00000018,telco_customer_churn,0021-IKXGC,,,CUST0000018,native_telco_customer_id,1.0
IDBR00000019,telco_customer_churn,0022-TCJCI,,,CUST0000019,native_telco_customer_id,1.0
IDBR00000020,telco_customer_churn,0023-HGHWL,,,CUST0000020,native_telco_customer_id,1.0
