support_interaction_id,unified_customer_id,ticket_id,customer_name,customer_email,customer_age,customer_gender,product_purchased,date_of_purchase,ticket_type,ticket_subject,ticket_status,resolution,ticket_priority,ticket_channel,first_response_time,time_to_resolution,resolution_hours_after_first_response,customer_satisfaction_rating,is_closed,is_open,response_available_flag,resolution_available_flag,invalid_age_flag,invalid_satisfaction_rating_flag,resolution_before_response_flag,identity_resolution_method,identity_confidence_score
SUP00000001,CUST0000989,396,Devon Bauer,beasleygerald@example.org,21,female,go_pro_action_camera,2020-12-26 00:00:00,technical_issue,delivery_problem,closed,Political road model language so rise yeah decision.,low,phone,2023-05-31 21:55:39,2023-06-01 08:31:39,10.6,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000002,CUST0006183,316,Daniel Robles,lisa39@example.com,33,other,fitbit_versa_smartwatch,2020-09-02 00:00:00,cancellation_request,hardware_issue,pending_customer_response,,critical,chat,2023-05-31 22:01:53,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000003,CUST0005169,286,Joshua Thomas,johnsonjames@example.com,24,female,amazon_kindle,2021-11-06 00:00:00,technical_issue,peripheral_compatibility,pending_customer_response,,medium,social_media,2023-05-31 22:02:18,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000004,CUST0003161,432,Matthew Peters,lawrencestephen@example.net,34,other,garmin_forerunner,2020-05-03 00:00:00,billing_inquiry,product_recommendation,pending_customer_response,,low,email,2023-05-31 22:03:31,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000005,CUST0000422,745,Johnny Hernandez,margaret51@example.org,24,female,dyson_vacuum_cleaner,2020-02-07 00:00:00,refund_request,installation_support,pending_customer_response,,low,social_media,2023-05-31 22:03:46,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000006,CUST0002474,600,Candace Taylor,richardspencer@example.net,69,other,lg_oled,2021-04-05 00:00:00,technical_issue,product_setup,pending_customer_response,,high,social_media,2023-05-31 22:05:31,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000007,CUST0002573,534,Joseph Nguyen,bdavis@example.com,23,other,lg_smart_tv,2021-06-11 00:00:00,product_inquiry,product_compatibility,pending_customer_response,,medium,chat,2023-05-31 22:05:53,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000008,CUST0004906,766,Erika Banks,joseph25@example.net,22,other,i_phone,2020-09-07 00:00:00,refund_request,payment_issue,closed,Question teacher well off religious explain.,critical,chat,2023-05-31 22:06:18,2023-06-01 08:24:18,10.3,5.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000009,CUST0003526,129,Sandra Nelson,jbaker@example.net,49,male,adobe_photoshop,2021-04-15 00:00:00,cancellation_request,hardware_issue,closed,Throughout heart possible since bit consumer.,medium,email,2023-05-31 22:12:33,2023-06-01 00:29:33,2.283333333333333,3.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000010,CUST0003955,40,Michael Oneal,stevenburns@example.net,33,other,amazon_echo,2021-10-22 00:00:00,product_inquiry,account_access,pending_customer_response,,medium,social_media,2023-05-31 22:19:32,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
